iter	Passed	Remaining
0	1	120
1	2	145
2	5	166
3	6	162
4	8	165
5	10	168
6	12	170
7	14	170
8	16	169
9	18	167
10	20	166
11	22	165
12	24	162
13	26	160
14	28	160
15	30	159
16	32	157
17	34	155
18	36	153
19	38	152
20	40	150
21	41	148
22	43	146
23	45	144
24	47	143
25	49	140
26	51	138
27	53	136
28	54	134
29	57	133
30	58	131
31	60	128
32	62	126
33	64	124
34	66	122
35	67	120
36	69	118
37	70	115
38	72	113
39	73	110
40	75	108
41	75	104
42	77	102
43	78	100
44	80	98
45	81	95
46	83	93
47	84	91
48	85	89
49	86	86
50	88	84
51	89	82
52	90	79
53	91	77
54	91	75
55	92	72
56	93	70
57	94	68
58	96	66
59	97	64
60	98	62
61	99	60
62	100	59
63	101	57
64	102	55
65	103	53
66	104	51
67	105	49
68	106	47
69	107	46
70	108	44
71	109	42
72	110	40
73	111	39
74	112	37
75	113	35
76	113	34
77	114	32
78	115	30
79	116	29
80	117	27
81	118	25
82	119	24
83	119	22
84	120	21
85	121	19
86	122	18
87	123	16
88	124	15
89	125	13
90	126	12
91	127	11
92	128	9
93	129	8
94	130	6
95	131	5
96	132	4
97	133	2
98	134	1
99	135	0
